cycle_id,event,start,end,duration_sec,latitude,longitude,cluster_key,is_complete
,basculamento,2025-12-12T11:18:55-03:00,2025-12-12T11:19:25-03:00,31,-11.694031,-47.166309,"-11.694,-47.166",1
,basculamento,2025-12-12T11:19:50-03:00,2025-12-12T11:20:03-03:00,14,-11.694138,-47.166175,"-11.694,-47.166",1
1,basculamento,2025-12-12T11:53:47-03:00,2025-12-12T11:54:50-03:00,64,-11.693838,-47.165716,"-11.694,-47.166",1
3,basculamento,2025-12-12T14:08:21-03:00,2025-12-12T14:08:30-03:00,10,-11.694052,-47.165378,"-11.694,-47.165",1
3,basculamento,2025-12-12T14:10:09-03:00,2025-12-12T14:10:35-03:00,27,-11.694109,-47.165504,"-11.694,-47.166",1
5,basculamento,2025-12-12T15:36:05-03:00,2025-12-12T15:36:23-03:00,19,-11.692621,-47.164842,"-11.693,-47.165",1
7,basculamento,2025-12-12T17:16:03-03:00,2025-12-12T17:16:40-03:00,38,-11.692511,-47.165118,"-11.693,-47.165",1
8,basculamento,2025-12-12T17:35:16-03:00,2025-12-12T17:36:02-03:00,47,-11.692506,-47.164990,"-11.693,-47.165",1
10,basculamento,2025-12-12T18:53:41-03:00,2025-12-12T18:54:00-03:00,20,-11.692611,-47.165187,"-11.693,-47.165",1
10,basculamento,2025-12-12T18:54:03-03:00,2025-12-12T18:54:49-03:00,47,-11.692616,-47.165186,"-11.693,-47.165",1
11,basculamento,2025-12-12T19:45:28-03:00,2025-12-12T19:45:37-03:00,10,-11.692704,-47.165190,"-11.693,-47.165",1
12,basculamento,2025-12-12T20:06:00-03:00,2025-12-12T20:06:10-03:00,11,-11.692774,-47.165146,"-11.693,-47.165",1
13,basculamento,2025-12-12T20:25:07-03:00,2025-12-12T20:25:39-03:00,33,-11.692777,-47.165388,"-11.693,-47.165",1
13,basculamento,2025-12-12T20:25:50-03:00,2025-12-12T20:26:05-03:00,16,-11.692779,-47.165344,"-11.693,-47.165",1
14,basculamento,2025-12-12T20:46:14-03:00,2025-12-12T20:46:28-03:00,15,-11.692833,-47.165390,"-11.693,-47.165",1
15,basculamento,2025-12-12T21:08:38-03:00,2025-12-12T21:09:25-03:00,48,-11.692735,-47.165040,"-11.693,-47.165",1
15,basculamento,2025-12-12T21:09:32-03:00,2025-12-12T21:09:48-03:00,17,-11.692758,-47.165076,"-11.693,-47.165",1
16,basculamento,2025-12-12T21:35:10-03:00,2025-12-12T21:35:59-03:00,50,-11.692766,-47.164591,"-11.693,-47.165",1
16,basculamento,2025-12-12T21:36:03-03:00,2025-12-12T21:36:21-03:00,19,-11.692791,-47.164561,"-11.693,-47.165",1
17,basculamento,2025-12-12T22:05:17-03:00,2025-12-12T22:06:06-03:00,50,-11.692162,-47.164277,"-11.692,-47.164",1
18,basculamento,2025-12-12T22:30:27-03:00,2025-12-12T22:31:03-03:00,37,-11.692777,-47.165123,"-11.693,-47.165",1
18,basculamento,2025-12-12T22:31:10-03:00,2025-12-12T22:31:22-03:00,13,-11.692797,-47.165159,"-11.693,-47.165",1
20,basculamento,2025-12-13T01:33:14-03:00,2025-12-13T01:33:50-03:00,37,-11.692857,-47.165194,"-11.693,-47.165",1
21,basculamento,2025-12-13T02:00:57-03:00,2025-12-13T02:01:26-03:00,30,-11.692869,-47.165211,"-11.693,-47.165",1
21,basculamento,2025-12-13T02:01:43-03:00,2025-12-13T02:01:52-03:00,10,-11.692938,-47.165231,"-11.693,-47.165",1
23,basculamento,2025-12-13T02:46:53-03:00,2025-12-13T02:47:41-03:00,49,-11.692940,-47.165255,"-11.693,-47.165",1
23,basculamento,2025-12-13T02:47:53-03:00,2025-12-13T02:48:10-03:00,18,-11.692986,-47.165252,"-11.693,-47.165",1
24,basculamento,2025-12-13T03:09:15-03:00,2025-12-13T03:09:55-03:00,41,-11.692929,-47.165274,"-11.693,-47.165",1
25,basculamento,2025-12-13T03:50:16-03:00,2025-12-13T03:50:32-03:00,17,-11.692979,-47.165171,"-11.693,-47.165",1
26,basculamento,2025-12-13T04:12:14-03:00,2025-12-13T04:12:51-03:00,38,-11.693037,-47.165300,"-11.693,-47.165",1
27,basculamento,2025-12-13T04:37:00-03:00,2025-12-13T04:37:44-03:00,45,-11.692997,-47.165249,"-11.693,-47.165",1
27,basculamento,2025-12-13T04:37:56-03:00,2025-12-13T04:38:13-03:00,18,-11.693032,-47.165221,"-11.693,-47.165",1
29,basculamento,2025-12-13T05:26:54-03:00,2025-12-13T05:27:39-03:00,46,-11.693013,-47.165248,"-11.693,-47.165",1
31,basculamento,2025-12-13T06:06:47-03:00,2025-12-13T06:06:59-03:00,13,-11.692951,-47.165591,"-11.693,-47.166",1
32,basculamento,2025-12-13T06:24:33-03:00,2025-12-13T06:25:08-03:00,36,-11.694402,-47.165185,"-11.694,-47.165",1
32,basculamento,2025-12-13T06:25:21-03:00,2025-12-13T06:25:33-03:00,13,-11.694305,-47.165188,"-11.694,-47.165",1
34,basculamento,2025-12-13T08:38:54-03:00,2025-12-13T08:39:46-03:00,53,-11.693458,-47.164057,"-11.693,-47.164",1
34,basculamento,2025-12-13T09:03:31-03:00,2025-12-13T09:03:40-03:00,10,-11.694185,-47.165036,"-11.694,-47.165",1
34,basculamento,2025-12-13T09:03:50-03:00,2025-12-13T09:04:55-03:00,66,-11.694246,-47.164952,"-11.694,-47.165",1
35,basculamento,2025-12-13T11:40:47-03:00,2025-12-13T11:41:06-03:00,20,-11.694154,-47.164340,"-11.694,-47.164",1
