cycle_id,event,start,end,duration_sec,latitude,longitude,cluster_key,is_complete
1,carregamento,2025-12-12T11:34:12-03:00,2025-12-12T11:36:31-03:00,140,-11.697981,-47.155153,"-11.698,-47.155",1
2,carregamento,2025-12-12T13:13:11-03:00,2025-12-12T13:18:07-03:00,297,-11.698043,-47.155153,"-11.698,-47.155",0
3,carregamento,2025-12-12T13:48:05-03:00,2025-12-12T13:51:48-03:00,223,-11.698009,-47.155191,"-11.698,-47.155",1
4,carregamento,2025-12-12T14:31:13-03:00,2025-12-12T14:38:39-03:00,407,-11.699316,-47.157626,"-11.699,-47.158",0
,carregamento,2025-12-12T14:57:29-03:00,2025-12-12T15:01:02-03:00,214,-11.699181,-47.157536,"-11.699,-47.158",0
5,carregamento,2025-12-12T15:19:28-03:00,2025-12-12T15:23:37-03:00,249,-11.699077,-47.157274,"-11.699,-47.157",1
6,carregamento,2025-12-12T15:41:51-03:00,2025-12-12T15:43:13-03:00,83,-11.699038,-47.157277,"-11.699,-47.157",0
,carregamento,2025-12-12T16:03:22-03:00,2025-12-12T16:05:28-03:00,127,-11.699045,-47.157301,"-11.699,-47.157",0
,carregamento,2025-12-12T16:23:31-03:00,2025-12-12T16:25:27-03:00,117,-11.698995,-47.157245,"-11.699,-47.157",0
,carregamento,2025-12-12T16:42:39-03:00,2025-12-12T16:45:05-03:00,147,-11.699025,-47.157313,"-11.699,-47.157",0
7,carregamento,2025-12-12T17:03:01-03:00,2025-12-12T17:05:24-03:00,144,-11.699030,-47.157321,"-11.699,-47.157",1
8,carregamento,2025-12-12T17:22:26-03:00,2025-12-12T17:24:39-03:00,134,-11.699023,-47.157368,"-11.699,-47.157",1
9,carregamento,2025-12-12T17:41:53-03:00,2025-12-12T17:44:29-03:00,157,-11.699023,-47.157377,"-11.699,-47.157",0
,carregamento,2025-12-12T18:02:32-03:00,2025-12-12T18:05:07-03:00,156,-11.699022,-47.157374,"-11.699,-47.157",0
10,carregamento,2025-12-12T18:40:16-03:00,2025-12-12T18:43:12-03:00,177,-11.699031,-47.157352,"-11.699,-47.157",1
11,carregamento,2025-12-12T19:32:33-03:00,2025-12-12T19:35:21-03:00,169,-11.699027,-47.157382,"-11.699,-47.157",1
12,carregamento,2025-12-12T19:53:04-03:00,2025-12-12T19:55:00-03:00,117,-11.699014,-47.157425,"-11.699,-47.157",1
13,carregamento,2025-12-12T20:11:48-03:00,2025-12-12T20:14:21-03:00,154,-11.699067,-47.157442,"-11.699,-47.157",1
14,carregamento,2025-12-12T20:32:12-03:00,2025-12-12T20:35:30-03:00,199,-11.699055,-47.157445,"-11.699,-47.157",1
15,carregamento,2025-12-12T20:52:48-03:00,2025-12-12T20:57:51-03:00,278,-11.698985,-47.157301,"-11.699,-47.157",1
16,carregamento,2025-12-12T21:19:39-03:00,2025-12-12T21:22:52-03:00,194,-11.698929,-47.157380,"-11.699,-47.157",1
