id,event,start,end,duration_sec,latitude,longitude,variabilidade_vibracao,accel_mean,spike_fraction
1,carregamento,2025-12-12T11:34:12-03:00,2025-12-12T11:36:31-03:00,139,-11.697981,-47.155153,0.0245,0.0251,0.136
2,carregamento,2025-12-12T13:13:11-03:00,2025-12-12T13:18:07-03:00,296,-11.698043,-47.155153,0.0392,0.0505,0.249
3,carregamento,2025-12-12T13:49:13-03:00,2025-12-12T13:51:48-03:00,155,-11.698018,-47.155192,0.0237,0.0208,0.128
4,carregamento,2025-12-12T14:34:37-03:00,2025-12-12T14:38:39-03:00,242,-11.699153,-47.157569,0.0222,0.0293,0.103
5,carregamento,2025-12-12T14:57:29-03:00,2025-12-12T15:01:02-03:00,213,-11.699181,-47.157536,0.0235,0.0231,0.126
6,carregamento,2025-12-12T15:19:28-03:00,2025-12-12T15:23:37-03:00,249,-11.699077,-47.157274,0.0216,0.0313,0.161
7,carregamento,2025-12-12T15:41:51-03:00,2025-12-12T15:43:22-03:00,91,-11.699038,-47.157277,0.0234,0.0212,0.120
8,carregamento,2025-12-12T16:23:31-03:00,2025-12-12T16:25:27-03:00,116,-11.698995,-47.157245,0.0203,0.0242,0.111
9,carregamento,2025-12-12T16:42:39-03:00,2025-12-12T16:45:05-03:00,146,-11.699025,-47.157313,0.0189,0.0233,0.102
10,carregamento,2025-12-12T17:03:00-03:00,2025-12-12T17:05:24-03:00,144,-11.699030,-47.157321,0.0154,0.0171,0.090
11,carregamento,2025-12-12T17:22:26-03:00,2025-12-12T17:24:39-03:00,133,-11.699023,-47.157368,0.0222,0.0288,0.112
12,carregamento,2025-12-12T17:41:53-03:00,2025-12-12T17:44:29-03:00,156,-11.699023,-47.157377,0.0147,0.0212,0.076
13,carregamento,2025-12-12T18:02:32-03:00,2025-12-12T18:05:08-03:00,156,-11.699022,-47.157374,0.0157,0.0256,0.070
14,carregamento,2025-12-12T18:40:16-03:00,2025-12-12T18:43:12-03:00,176,-11.699031,-47.157352,0.0154,0.0186,0.107
15,carregamento,2025-12-12T19:32:33-03:00,2025-12-12T19:35:21-03:00,168,-11.699027,-47.157382,0.0169,0.0193,0.077
16,carregamento,2025-12-12T20:11:48-03:00,2025-12-12T20:14:21-03:00,153,-11.699067,-47.157442,0.0184,0.0205,0.110
17,carregamento,2025-12-12T20:32:12-03:00,2025-12-12T20:35:30-03:00,198,-11.699055,-47.157445,0.0167,0.0181,0.085
18,carregamento,2025-12-12T20:55:07-03:00,2025-12-12T20:57:51-03:00,164,-11.698979,-47.157356,0.0245,0.0298,0.127
19,carregamento,2025-12-12T21:19:39-03:00,2025-12-12T21:22:52-03:00,193,-11.698929,-47.157380,0.0155,0.0164,0.062
20,carregamento,2025-12-12T21:49:02-03:00,2025-12-12T21:52:14-03:00,192,-11.698985,-47.157285,0.0215,0.0313,0.187
21,carregamento,2025-12-12T22:16:50-03:00,2025-12-12T22:19:57-03:00,187,-11.699055,-47.157400,0.0204,0.0280,0.149
