ciclo,carga_area,carga_inicio,carga_fim,carga_duracao_sec,desloc_carregado_sec,desloc_carregado_km,basculamento_area,basculamento_inicio,basculamento_fim,basculamento_duracao_sec,desloc_vazio_sec,desloc_vazio_km,ciclo_total_sec
1,PAIOL,2025-12-12T11:34:12-03:00,2025-12-12T11:36:31-03:00,139,1014,2.7,BF - Paiol,2025-12-12T11:53:25-03:00,2025-12-12T11:55:16-03:00,105,4492,3.6,5750
2,PAIOL,2025-12-12T13:10:08-03:00,2025-12-12T13:18:07-03:00,479,1008,2.68,BF - Paiol,2025-12-12T13:34:55-03:00,2025-12-12T13:37:31-03:00,157,628,2.83,2272
3,PAIOL,2025-12-12T13:47:59-03:00,2025-12-12T13:51:48-03:00,229,1009,2.77,BF - Paiol,2025-12-12T14:08:37-03:00,2025-12-12T14:10:35-03:00,119,1229,3.65,2586
4,PAIOL,2025-12-12T14:31:04-03:00,2025-12-12T14:38:36-03:00,452,655,2.1,BF - Paiol,2025-12-12T14:49:31-03:00,2025-12-12T14:50:41-03:00,68,408,2.11,1583
5,PAIOL,2025-12-12T14:57:29-03:00,2025-12-12T15:00:58-03:00,209,639,2.11,BF - Paiol,2025-12-12T15:11:37-03:00,2025-12-12T15:13:26-03:00,102,349,2.17,1299
6,PAIOL,2025-12-12T15:19:15-03:00,2025-12-12T15:23:37-03:00,262,674,2.11,BF - Paiol,2025-12-12T15:34:51-03:00,2025-12-12T15:36:23-03:00,88,328,2.13,1352
7,PAIOL,2025-12-12T15:41:51-03:00,2025-12-12T15:44:04-03:00,133,714,2.14,BF - Paiol,2025-12-12T15:55:58-03:00,2025-12-12T15:57:15-03:00,78,338,2.09,1263
8,PAIOL,2025-12-12T16:02:53-03:00,2025-12-12T16:05:28-03:00,155,644,2.06,BF - Paiol,2025-12-12T16:16:12-03:00,2025-12-12T16:17:37-03:00,86,354,2.08,1239
9,PAIOL,2025-12-12T16:23:31-03:00,2025-12-12T16:25:27-03:00,116,638,2.12,BF - Paiol,2025-12-12T16:36:05-03:00,2025-12-12T16:37:21-03:00,75,318,2.14,1147
10,PAIOL,2025-12-12T16:42:39-03:00,2025-12-12T16:45:05-03:00,146,679,2.1,BF - Paiol,2025-12-12T16:56:24-03:00,2025-12-12T16:57:41-03:00,78,319,2.12,1222
11,PAIOL,2025-12-12T17:03:00-03:00,2025-12-12T17:05:24-03:00,144,632,2.08,BF - Paiol,2025-12-12T17:15:56-03:00,2025-12-12T17:17:08-03:00,67,318,2.09,1161
12,PAIOL,2025-12-12T17:22:26-03:00,2025-12-12T17:24:39-03:00,133,633,2.1,BF - Paiol,2025-12-12T17:35:12-03:00,2025-12-12T17:36:26-03:00,63,327,2.08,1156
13,PAIOL,2025-12-12T17:41:53-03:00,2025-12-12T17:44:29-03:00,156,631,2.07,BF - Paiol,2025-12-12T17:55:00-03:00,2025-12-12T17:56:14-03:00,72,378,2.09,1237
14,PAIOL,2025-12-12T18:02:32-03:00,2025-12-12T18:05:08-03:00,156,635,2.06,BF - Paiol,2025-12-12T18:15:43-03:00,2025-12-12T18:17:24-03:00,95,1287,2.67,2173
15,PAIOL,2025-12-12T18:38:51-03:00,2025-12-12T18:43:15-03:00,264,600,2.05,BF - Paiol,2025-12-12T18:53:15-03:00,2025-12-12T18:55:07-03:00,109,2243,2.96,3216
16,PAIOL,2025-12-12T19:32:30-03:00,2025-12-12T19:35:21-03:00,171,605,2.04,BF - Paiol,2025-12-12T19:45:26-03:00,2025-12-12T19:47:22-03:00,114,335,2.07,1225
17,PAIOL,2025-12-12T19:52:57-03:00,2025-12-12T19:54:56-03:00,119,555,2.02,BF - Paiol,2025-12-12T20:04:11-03:00,2025-12-12T20:05:38-03:00,79,370,2.12,1123
18,PAIOL,2025-12-12T20:11:48-03:00,2025-12-12T20:14:17-03:00,149,643,2.09,BF - Paiol,2025-12-12T20:25:00-03:00,2025-12-12T20:26:06-03:00,63,363,2.06,1218
19,PAIOL,2025-12-12T20:32:09-03:00,2025-12-12T20:35:38-03:00,209,589,2.0,BF - Paiol,2025-12-12T20:45:27-03:00,2025-12-12T20:46:30-03:00,60,378,2.1,1236
