cycle_id,event,start,end,duration_sec,latitude,longitude,cluster_key,is_complete
,espera_carregamento,2025-12-12T13:02:54-03:00,2025-12-12T13:08:10-03:00,317,-11.698725,-47.155164,"-11.699,-47.155",1
2,espera_carregamento,2025-12-12T13:10:09-03:00,2025-12-12T13:11:39-03:00,91,-11.698093,-47.154981,"-11.698,-47.155",1
2,espera_carregamento,2025-12-12T13:12:19-03:00,2025-12-12T13:12:55-03:00,37,-11.698011,-47.154951,"-11.698,-47.155",1
,espera_carregamento,2025-12-12T14:24:27-03:00,2025-12-12T14:30:13-03:00,347,-11.699739,-47.157369,"-11.700,-47.157",1
4,espera_carregamento,2025-12-12T14:34:37-03:00,2025-12-12T14:38:39-03:00,243,-11.699153,-47.157569,"-11.699,-47.158",1
,espera_carregamento,2025-12-12T14:57:03-03:00,2025-12-12T14:57:17-03:00,15,-11.699268,-47.157556,"-11.699,-47.158",1
5,espera_carregamento,2025-12-12T15:21:17-03:00,2025-12-12T15:23:37-03:00,141,-11.699057,-47.157287,"-11.699,-47.157",1
6,espera_carregamento,2025-12-12T15:43:24-03:00,2025-12-12T15:44:04-03:00,41,-11.699035,-47.157277,"-11.699,-47.157",1
10,espera_carregamento,2025-12-12T18:38:53-03:00,2025-12-12T18:39:56-03:00,64,-11.699119,-47.157199,"-11.699,-47.157",1
11,espera_carregamento,2025-12-12T19:31:20-03:00,2025-12-12T19:31:58-03:00,39,-11.699071,-47.157223,"-11.699,-47.157",1
15,espera_carregamento,2025-12-12T20:55:07-03:00,2025-12-12T20:57:51-03:00,165,-11.698979,-47.157356,"-11.699,-47.157",1
16,espera_carregamento,2025-12-12T21:16:27-03:00,2025-12-12T21:18:58-03:00,152,-11.699030,-47.157177,"-11.699,-47.157",1
17,espera_carregamento,2025-12-12T21:47:47-03:00,2025-12-12T21:48:33-03:00,47,-11.699143,-47.157187,"-11.699,-47.157",1
18,espera_carregamento,2025-12-12T22:15:17-03:00,2025-12-12T22:16:03-03:00,47,-11.699118,-47.157208,"-11.699,-47.157",1
19,espera_carregamento,2025-12-12T22:36:43-03:00,2025-12-12T22:38:09-03:00,87,-11.699014,-47.157398,"-11.699,-47.157",1
,espera_carregamento,2025-12-13T00:39:16-03:00,2025-12-13T00:43:44-03:00,269,-11.699205,-47.157561,"-11.699,-47.158",1
20,espera_carregamento,2025-12-13T01:15:38-03:00,2025-12-13T01:16:12-03:00,35,-11.699039,-47.157389,"-11.699,-47.157",1
20,espera_carregamento,2025-12-13T01:16:36-03:00,2025-12-13T01:17:04-03:00,29,-11.699194,-47.157489,"-11.699,-47.157",1
20,espera_carregamento,2025-12-13T01:17:20-03:00,2025-12-13T01:18:12-03:00,53,-11.699317,-47.157496,"-11.699,-47.157",1
,espera_carregamento,2025-12-13T01:19:02-03:00,2025-12-13T01:22:23-03:00,202,-11.699141,-47.157577,"-11.699,-47.158",1
,espera_carregamento,2025-12-13T01:39:31-03:00,2025-12-13T01:45:18-03:00,348,-11.699025,-47.157411,"-11.699,-47.157",1
22,espera_carregamento,2025-12-13T02:10:49-03:00,2025-12-13T02:11:05-03:00,17,-11.699225,-47.157554,"-11.699,-47.158",1
22,espera_carregamento,2025-12-13T02:11:23-03:00,2025-12-13T02:14:30-03:00,188,-11.699123,-47.157575,"-11.699,-47.158",1
24,espera_carregamento,2025-12-13T02:55:58-03:00,2025-12-13T02:59:01-03:00,184,-11.699047,-47.157571,"-11.699,-47.158",1
25,espera_carregamento,2025-12-13T03:16:50-03:00,2025-12-13T03:17:48-03:00,59,-11.699004,-47.157393,"-11.699,-47.157",1
25,espera_carregamento,2025-12-13T03:17:51-03:00,2025-12-13T03:18:21-03:00,31,-11.699016,-47.157410,"-11.699,-47.157",1
26,espera_carregamento,2025-12-13T03:55:17-03:00,2025-12-13T03:58:22-03:00,186,-11.699211,-47.157563,"-11.699,-47.158",1
27,espera_carregamento,2025-12-13T04:18:38-03:00,2025-12-13T04:20:19-03:00,102,-11.699290,-47.157385,"-11.699,-47.157",1
27,espera_carregamento,2025-12-13T04:24:27-03:00,2025-12-13T04:27:02-03:00,156,-11.699055,-47.157676,"-11.699,-47.158",1
28,espera_carregamento,2025-12-13T04:45:09-03:00,2025-12-13T04:47:37-03:00,149,-11.699076,-47.157217,"-11.699,-47.157",1
,espera_carregamento,2025-12-13T05:09:24-03:00,2025-12-13T05:13:28-03:00,245,-11.699081,-47.157536,"-11.699,-47.158",1
29,espera_carregamento,2025-12-13T05:14:46-03:00,2025-12-13T05:15:36-03:00,51,-11.698981,-47.157267,"-11.699,-47.157",1
30,espera_carregamento,2025-12-13T05:35:31-03:00,2025-12-13T05:38:05-03:00,155,-11.698941,-47.157193,"-11.699,-47.157",1
33,espera_carregamento,2025-12-13T06:31:24-03:00,2025-12-13T06:31:41-03:00,18,-11.699004,-47.157209,"-11.699,-47.157",1
,espera_carregamento,2025-12-13T08:06:29-03:00,2025-12-13T08:07:04-03:00,36,-11.699291,-47.157272,"-11.699,-47.157",1
,espera_carregamento,2025-12-13T08:08:30-03:00,2025-12-13T08:24:35-03:00,966,-11.699157,-47.157217,"-11.699,-47.157",1
,espera_carregamento,2025-12-13T08:46:48-03:00,2025-12-13T08:49:28-03:00,161,-11.698960,-47.157143,"-11.699,-47.157",1
