cycle_id,event,start,end,duration_sec,latitude,longitude,cluster_key,is_complete
,basculamento,2025-12-12T11:18:55-03:00,2025-12-12T11:19:25-03:00,31,-11.694031,-47.166309,"-11.694,-47.166",1
,basculamento,2025-12-12T11:19:50-03:00,2025-12-12T11:20:03-03:00,14,-11.694138,-47.166175,"-11.694,-47.166",1
,espera_basculamento,2025-12-12T11:22:12-03:00,2025-12-12T11:24:42-03:00,151,-11.694127,-47.166172,"-11.694,-47.166",1
1,carregamento,2025-12-12T11:34:12-03:00,2025-12-12T11:36:31-03:00,140,-11.697981,-47.155153,"-11.698,-47.155",1
1,basculamento,2025-12-12T11:53:47-03:00,2025-12-12T11:54:50-03:00,64,-11.693838,-47.165716,"-11.694,-47.166",1
,espera_carregamento,2025-12-12T13:02:54-03:00,2025-12-12T13:08:10-03:00,317,-11.698725,-47.155164,"-11.699,-47.155",1
2,espera_carregamento,2025-12-12T13:10:09-03:00,2025-12-12T13:11:39-03:00,91,-11.698093,-47.154981,"-11.698,-47.155",1
2,espera_carregamento,2025-12-12T13:12:19-03:00,2025-12-12T13:12:55-03:00,37,-11.698011,-47.154951,"-11.698,-47.155",1
2,carregamento,2025-12-12T13:13:11-03:00,2025-12-12T13:18:07-03:00,297,-11.698043,-47.155153,"-11.698,-47.155",0
,espera_basculamento,2025-12-12T13:35:33-03:00,2025-12-12T13:36:27-03:00,55,-11.693874,-47.165829,"-11.694,-47.166",1
,espera_basculamento,2025-12-12T13:37:02-03:00,2025-12-12T13:37:30-03:00,29,-11.693824,-47.165738,"-11.694,-47.166",1
3,carregamento,2025-12-12T13:48:05-03:00,2025-12-12T13:51:48-03:00,223,-11.698009,-47.155191,"-11.698,-47.155",1
3,basculamento,2025-12-12T14:08:21-03:00,2025-12-12T14:08:30-03:00,10,-11.694052,-47.165378,"-11.694,-47.165",1
3,espera_basculamento,2025-12-12T14:08:50-03:00,2025-12-12T14:09:52-03:00,63,-11.694150,-47.165527,"-11.694,-47.166",1
3,basculamento,2025-12-12T14:10:09-03:00,2025-12-12T14:10:35-03:00,27,-11.694109,-47.165504,"-11.694,-47.166",1
,espera_carregamento,2025-12-12T14:24:27-03:00,2025-12-12T14:30:13-03:00,347,-11.699739,-47.157369,"-11.700,-47.157",1
4,carregamento,2025-12-12T14:31:13-03:00,2025-12-12T14:38:39-03:00,407,-11.699316,-47.157626,"-11.699,-47.158",0
4,espera_carregamento,2025-12-12T14:34:37-03:00,2025-12-12T14:38:39-03:00,243,-11.699153,-47.157569,"-11.699,-47.158",1
,espera_basculamento,2025-12-12T14:49:42-03:00,2025-12-12T14:50:28-03:00,47,-11.692388,-47.164855,"-11.692,-47.165",1
,espera_carregamento,2025-12-12T14:57:03-03:00,2025-12-12T14:57:17-03:00,15,-11.699268,-47.157556,"-11.699,-47.158",1
,carregamento,2025-12-12T14:57:29-03:00,2025-12-12T15:01:02-03:00,214,-11.699181,-47.157536,"-11.699,-47.158",0
,espera_basculamento,2025-12-12T15:12:09-03:00,2025-12-12T15:13:10-03:00,62,-11.692663,-47.164070,"-11.693,-47.164",1
5,carregamento,2025-12-12T15:19:28-03:00,2025-12-12T15:23:37-03:00,249,-11.699077,-47.157274,"-11.699,-47.157",1
5,espera_carregamento,2025-12-12T15:21:17-03:00,2025-12-12T15:23:37-03:00,141,-11.699057,-47.157287,"-11.699,-47.157",1
5,espera_basculamento,2025-12-12T15:34:59-03:00,2025-12-12T15:35:53-03:00,55,-11.692571,-47.164776,"-11.693,-47.165",1
5,basculamento,2025-12-12T15:36:05-03:00,2025-12-12T15:36:23-03:00,19,-11.692621,-47.164842,"-11.693,-47.165",1
6,carregamento,2025-12-12T15:41:51-03:00,2025-12-12T15:43:13-03:00,83,-11.699038,-47.157277,"-11.699,-47.157",0
6,espera_carregamento,2025-12-12T15:43:24-03:00,2025-12-12T15:44:04-03:00,41,-11.699035,-47.157277,"-11.699,-47.157",1
,espera_basculamento,2025-12-12T15:56:03-03:00,2025-12-12T15:56:58-03:00,56,-11.692599,-47.164779,"-11.693,-47.165",1
,carregamento,2025-12-12T16:03:22-03:00,2025-12-12T16:05:28-03:00,127,-11.699045,-47.157301,"-11.699,-47.157",0
,espera_basculamento,2025-12-12T16:16:23-03:00,2025-12-12T16:17:03-03:00,41,-11.692660,-47.165403,"-11.693,-47.165",1
,espera_basculamento,2025-12-12T16:17:13-03:00,2025-12-12T16:17:37-03:00,25,-11.692669,-47.165364,"-11.693,-47.165",1
,carregamento,2025-12-12T16:23:31-03:00,2025-12-12T16:25:27-03:00,117,-11.698995,-47.157245,"-11.699,-47.157",0
,espera_basculamento,2025-12-12T16:36:11-03:00,2025-12-12T16:36:56-03:00,46,-11.692794,-47.164350,"-11.693,-47.164",1
,carregamento,2025-12-12T16:42:39-03:00,2025-12-12T16:45:05-03:00,147,-11.699025,-47.157313,"-11.699,-47.157",0
,espera_basculamento,2025-12-12T16:56:34-03:00,2025-12-12T16:57:15-03:00,42,-11.692837,-47.164457,"-11.693,-47.164",1
7,carregamento,2025-12-12T17:03:01-03:00,2025-12-12T17:05:24-03:00,144,-11.699030,-47.157321,"-11.699,-47.157",1
7,basculamento,2025-12-12T17:16:03-03:00,2025-12-12T17:16:40-03:00,38,-11.692511,-47.165118,"-11.693,-47.165",1
7,espera_basculamento,2025-12-12T17:16:48-03:00,2025-12-12T17:17:08-03:00,21,-11.692574,-47.165112,"-11.693,-47.165",1
8,carregamento,2025-12-12T17:22:26-03:00,2025-12-12T17:24:39-03:00,134,-11.699023,-47.157368,"-11.699,-47.157",1
8,basculamento,2025-12-12T17:35:16-03:00,2025-12-12T17:36:02-03:00,47,-11.692506,-47.164990,"-11.693,-47.165",1
9,carregamento,2025-12-12T17:41:53-03:00,2025-12-12T17:44:29-03:00,157,-11.699023,-47.157377,"-11.699,-47.157",0
,espera_basculamento,2025-12-12T17:55:20-03:00,2025-12-12T17:55:55-03:00,36,-11.692605,-47.164912,"-11.693,-47.165",1
,carregamento,2025-12-12T18:02:32-03:00,2025-12-12T18:05:07-03:00,156,-11.699022,-47.157374,"-11.699,-47.157",0
,espera_basculamento,2025-12-12T18:15:57-03:00,2025-12-12T18:17:00-03:00,64,-11.692675,-47.164978,"-11.693,-47.165",1
10,espera_carregamento,2025-12-12T18:38:53-03:00,2025-12-12T18:39:56-03:00,64,-11.699119,-47.157199,"-11.699,-47.157",1
10,carregamento,2025-12-12T18:40:16-03:00,2025-12-12T18:43:12-03:00,177,-11.699031,-47.157352,"-11.699,-47.157",1
10,basculamento,2025-12-12T18:53:41-03:00,2025-12-12T18:54:00-03:00,20,-11.692611,-47.165187,"-11.693,-47.165",1
10,basculamento,2025-12-12T18:54:03-03:00,2025-12-12T18:54:49-03:00,47,-11.692616,-47.165186,"-11.693,-47.165",1
11,espera_carregamento,2025-12-12T19:31:20-03:00,2025-12-12T19:31:58-03:00,39,-11.699071,-47.157223,"-11.699,-47.157",1
11,carregamento,2025-12-12T19:32:33-03:00,2025-12-12T19:35:21-03:00,169,-11.699027,-47.157382,"-11.699,-47.157",1
11,basculamento,2025-12-12T19:45:28-03:00,2025-12-12T19:45:37-03:00,10,-11.692704,-47.165190,"-11.693,-47.165",1
11,espera_basculamento,2025-12-12T19:46:11-03:00,2025-12-12T19:46:44-03:00,34,-11.692690,-47.165344,"-11.693,-47.165",1
11,espera_basculamento,2025-12-12T19:46:59-03:00,2025-12-12T19:47:19-03:00,21,-11.692716,-47.165282,"-11.693,-47.165",1
12,carregamento,2025-12-12T19:53:04-03:00,2025-12-12T19:55:00-03:00,117,-11.699014,-47.157425,"-11.699,-47.157",1
12,espera_basculamento,2025-12-12T20:04:26-03:00,2025-12-12T20:05:08-03:00,43,-11.692797,-47.165388,"-11.693,-47.165",1
12,espera_basculamento,2025-12-12T20:05:22-03:00,2025-12-12T20:05:38-03:00,17,-11.692759,-47.165341,"-11.693,-47.165",1
